role,industry,salary_aud,experience_level,remote_friendly,top_skill_1,top_skill_2,top_skill_3,yoy_growth_pct
Business Analyst,Media & Comms,135039,Mid (3-5 yrs),Yes,Process Mapping,SQL,Power BI,19.2
Business Analyst,Consulting,69955,Graduate (0-1 yrs),Hybrid,Power BI,Process Mapping,Excel,16.0
Business Analyst,Finance & Banking,121083,Junior (1-3 yrs),Yes,Stakeholder Management,Jira,Process Mapping,20.7
Business Analyst,Healthcare,91735,Junior (1-3 yrs),No,Stakeholder Management,Power BI,Excel,15.2
Business Analyst,Tech & SaaS,97180,Senior (5+ yrs),No,SQL,Stakeholder Management,Excel,12.6
Business Analyst,Media & Comms,77940,Mid (3-5 yrs),Yes,Power BI,Jira,Excel,16.7
Business Analyst,Finance & Banking,101329,Junior (1-3 yrs),No,Jira,Excel,SQL,7.8
Business Analyst,Tech & SaaS,60294,Graduate (0-1 yrs),No,SQL,Stakeholder Management,Jira,14.5
Business Analyst,Retail & E-commerce,91462,Junior (1-3 yrs),Hybrid,SQL,Stakeholder Management,Excel,12.9
Business Analyst,Manufacturing,127982,Mid (3-5 yrs),Hybrid,Stakeholder Management,Jira,Excel,11.7
Business Analyst,Tech & SaaS,69271,Graduate (0-1 yrs),Yes,SQL,Excel,Power BI,15.3
Business Analyst,Government,122744,Mid (3-5 yrs),Hybrid,Stakeholder Management,Process Mapping,Jira,17.1
Business Analyst,Retail & E-commerce,73589,Mid (3-5 yrs),Yes,Excel,Stakeholder Management,Jira,14.0
Business Analyst,Finance & Banking,100486,Senior (5+ yrs),No,Excel,Stakeholder Management,Power BI,13.5
Business Analyst,Finance & Banking,81250,Senior (5+ yrs),No,Process Mapping,Jira,SQL,13.0
Business Analyst,Tech & SaaS,98618,Mid (3-5 yrs),Yes,SQL,Excel,Jira,16.0
Business Analyst,Consulting,85313,Graduate (0-1 yrs),Hybrid,Jira,Process Mapping,Excel,13.9
Business Analyst,Government,98661,Mid (3-5 yrs),No,Excel,Stakeholder Management,SQL,15.8
Business Analyst,Government,112086,Junior (1-3 yrs),Hybrid,Jira,SQL,Stakeholder Management,16.4
Business Analyst,Tech & SaaS,76514,Junior (1-3 yrs),No,Stakeholder Management,SQL,Power BI,15.0
Business Analyst,Manufacturing,117570,Senior (5+ yrs),No,Power BI,SQL,Stakeholder Management,16.2
Business Analyst,Government,86945,Mid (3-5 yrs),Hybrid,Process Mapping,Power BI,Jira,18.6
Business Analyst,Manufacturing,104230,Mid (3-5 yrs),Hybrid,Excel,SQL,Jira,14.0
Business Analyst,Consulting,99067,Junior (1-3 yrs),No,Excel,Power BI,Stakeholder Management,17.2
Business Analyst,Consulting,108521,Mid (3-5 yrs),No,Process Mapping,SQL,Stakeholder Management,12.4
Business Analyst,Tech & SaaS,76387,Mid (3-5 yrs),Yes,Stakeholder Management,Jira,SQL,13.4
Business Analyst,Government,60666,Graduate (0-1 yrs),Yes,Excel,Stakeholder Management,Power BI,17.6
Business Analyst,Tech & SaaS,96652,Senior (5+ yrs),Hybrid,Jira,Excel,Power BI,14.9
Business Analyst,Healthcare,70274,Graduate (0-1 yrs),Yes,SQL,Excel,Jira,12.4
Business Analyst,Healthcare,75086,Graduate (0-1 yrs),Hybrid,Power BI,Stakeholder Management,SQL,14.5
Business Analyst,Manufacturing,84250,Graduate (0-1 yrs),No,Jira,SQL,Stakeholder Management,15.2
Business Analyst,Finance & Banking,61281,Graduate (0-1 yrs),No,Excel,Process Mapping,SQL,13.8
Business Analyst,Retail & E-commerce,70200,Mid (3-5 yrs),Hybrid,Jira,Stakeholder Management,Process Mapping,10.9
Business Analyst,Retail & E-commerce,105618,Graduate (0-1 yrs),Yes,Power BI,Excel,Stakeholder Management,12.8
Business Analyst,Media & Comms,69633,Junior (1-3 yrs),Hybrid,Stakeholder Management,SQL,Process Mapping,17.7
Business Analyst,Consulting,105053,Junior (1-3 yrs),Hybrid,Process Mapping,Stakeholder Management,Power BI,12.4
Business Analyst,Healthcare,74260,Graduate (0-1 yrs),No,Excel,Process Mapping,Jira,18.4
Business Analyst,Manufacturing,102084,Mid (3-5 yrs),Hybrid,Process Mapping,Excel,SQL,15.8
Business Analyst,Education,89972,Junior (1-3 yrs),Yes,Power BI,Excel,Jira,13.3
Business Analyst,Manufacturing,68119,Graduate (0-1 yrs),Hybrid,Excel,Jira,Process Mapping,15.3
Business Analyst,Government,98351,Junior (1-3 yrs),Yes,SQL,Excel,Jira,15.6
Business Analyst,Healthcare,82105,Junior (1-3 yrs),Hybrid,Power BI,Excel,Jira,14.1
Business Analyst,Consulting,119872,Mid (3-5 yrs),No,Power BI,Stakeholder Management,SQL,16.0
Business Analyst,Healthcare,125288,Senior (5+ yrs),No,Excel,Power BI,Stakeholder Management,15.4
Business Analyst,Media & Comms,100792,Junior (1-3 yrs),Hybrid,Excel,Power BI,Stakeholder Management,14.0
Business Analyst,Government,87340,Mid (3-5 yrs),Hybrid,Jira,Excel,SQL,16.5
Business Analyst,Finance & Banking,107181,Senior (5+ yrs),Hybrid,Power BI,Excel,Process Mapping,17.4
Business Analyst,Consulting,68617,Junior (1-3 yrs),Hybrid,Process Mapping,Jira,Excel,9.9
Business Analyst,Government,68588,Graduate (0-1 yrs),Yes,SQL,Power BI,Stakeholder Management,14.0
Business Analyst,Government,71341,Junior (1-3 yrs),No,Stakeholder Management,Process Mapping,Power BI,12.5
Business Analyst,Retail & E-commerce,122725,Mid (3-5 yrs),Hybrid,Excel,Power BI,Jira,17.2
Business Analyst,Manufacturing,74545,Graduate (0-1 yrs),Yes,Process Mapping,Excel,Power BI,15.9
Business Analyst,Manufacturing,100513,Mid (3-5 yrs),Hybrid,SQL,Jira,Excel,15.4
Business Analyst,Consulting,92822,Mid (3-5 yrs),No,SQL,Power BI,Jira,13.0
Business Analyst,Tech & SaaS,76715,Graduate (0-1 yrs),Yes,Process Mapping,Power BI,Stakeholder Management,13.2
Business Analyst,Finance & Banking,145116,Mid (3-5 yrs),Hybrid,Excel,SQL,Power BI,18.7
Business Analyst,Government,84597,Junior (1-3 yrs),No,Stakeholder Management,Process Mapping,Jira,12.3
Business Analyst,Healthcare,64199,Graduate (0-1 yrs),Yes,Stakeholder Management,Power BI,Process Mapping,21.1
Business Analyst,Tech & SaaS,81617,Graduate (0-1 yrs),Yes,SQL,Stakeholder Management,Process Mapping,15.0
Business Analyst,Healthcare,65000,Junior (1-3 yrs),Hybrid,Excel,Jira,SQL,15.1
Business Analyst,Consulting,91151,Junior (1-3 yrs),Hybrid,Power BI,Jira,Process Mapping,16.0
Business Analyst,Healthcare,104136,Senior (5+ yrs),Hybrid,Excel,Power BI,SQL,16.6
Business Analyst,Retail & E-commerce,90172,Senior (5+ yrs),Yes,SQL,Stakeholder Management,Jira,14.6
Business Analyst,Consulting,107070,Mid (3-5 yrs),Hybrid,Jira,Power BI,Excel,16.4
Business Analyst,Manufacturing,90971,Junior (1-3 yrs),Hybrid,Power BI,SQL,Jira,16.6
Business Analyst,Tech & SaaS,55000,Graduate (0-1 yrs),Hybrid,Excel,Process Mapping,SQL,15.0
Business Analyst,Tech & SaaS,78362,Junior (1-3 yrs),Yes,Power BI,Excel,Jira,16.8
Business Analyst,Retail & E-commerce,65000,Junior (1-3 yrs),Hybrid,Stakeholder Management,Process Mapping,Power BI,18.4
Business Analyst,Media & Comms,119097,Senior (5+ yrs),Yes,SQL,Jira,Stakeholder Management,14.2
Business Analyst,Retail & E-commerce,77981,Graduate (0-1 yrs),Hybrid,Power BI,Stakeholder Management,Jira,20.9
Business Analyst,Education,75720,Junior (1-3 yrs),Hybrid,Process Mapping,Jira,SQL,10.3
Business Analyst,Retail & E-commerce,124652,Senior (5+ yrs),No,SQL,Process Mapping,Stakeholder Management,16.2
Business Analyst,Retail & E-commerce,55000,Graduate (0-1 yrs),No,Power BI,Jira,SQL,11.0
Data Scientist,Media & Comms,121610,Mid (3-5 yrs),Hybrid,Pandas,Scikit-learn,Statistics,27.4
Data Scientist,Consulting,137747,Junior (1-3 yrs),Hybrid,SQL,Scikit-learn,Pandas,28.8
Data Scientist,Media & Comms,108684,Mid (3-5 yrs),Hybrid,SQL,Scikit-learn,Machine Learning,26.9
Data Scientist,Government,116189,Graduate (0-1 yrs),Hybrid,Statistics,SQL,Scikit-learn,24.0
Data Scientist,Tech & SaaS,125700,Mid (3-5 yrs),Yes,Machine Learning,Statistics,Pandas,28.7
Data Scientist,Consulting,143828,Junior (1-3 yrs),Yes,Python,SQL,Scikit-learn,24.4
Data Scientist,Tech & SaaS,127126,Senior (5+ yrs),Hybrid,Scikit-learn,Pandas,Machine Learning,29.0
Data Scientist,Consulting,123040,Mid (3-5 yrs),No,SQL,Python,Statistics,31.6
Data Scientist,Healthcare,132954,Mid (3-5 yrs),Hybrid,Scikit-learn,Machine Learning,Pandas,31.0
Data Scientist,Consulting,138812,Senior (5+ yrs),Hybrid,Statistics,SQL,Pandas,23.7
Data Scientist,Media & Comms,111492,Graduate (0-1 yrs),No,Machine Learning,Statistics,SQL,32.3
Data Scientist,Consulting,112500,Senior (5+ yrs),Hybrid,Scikit-learn,SQL,Machine Learning,25.4
Data Scientist,Media & Comms,172800,Mid (3-5 yrs),No,Scikit-learn,Machine Learning,Pandas,27.6
Data Scientist,Healthcare,167338,Senior (5+ yrs),Hybrid,Machine Learning,Scikit-learn,Pandas,29.1
Data Scientist,Healthcare,91169,Graduate (0-1 yrs),Yes,Statistics,SQL,Pandas,29.7
Data Scientist,Healthcare,102848,Junior (1-3 yrs),No,Statistics,Pandas,Scikit-learn,30.3
Data Scientist,Tech & SaaS,95938,Junior (1-3 yrs),Hybrid,Scikit-learn,Machine Learning,Python,27.0
Data Scientist,Media & Comms,139539,Mid (3-5 yrs),Yes,Pandas,Python,Statistics,26.2
Data Scientist,Government,171111,Senior (5+ yrs),No,Statistics,SQL,Machine Learning,31.2
Data Scientist,Retail & E-commerce,139280,Senior (5+ yrs),No,Python,Scikit-learn,Pandas,29.1
Data Scientist,Retail & E-commerce,139353,Junior (1-3 yrs),Hybrid,Statistics,Pandas,Python,26.6
Data Scientist,Education,95040,Junior (1-3 yrs),Hybrid,Machine Learning,Python,Scikit-learn,27.9
Data Scientist,Government,113945,Senior (5+ yrs),Hybrid,SQL,Machine Learning,Statistics,27.5
Data Scientist,Retail & E-commerce,167284,Mid (3-5 yrs),Hybrid,Machine Learning,Scikit-learn,Python,33.6
Data Scientist,Education,128004,Junior (1-3 yrs),Yes,Scikit-learn,SQL,Python,22.0
Data Scientist,Education,157388,Mid (3-5 yrs),Yes,SQL,Python,Scikit-learn,29.9
Data Scientist,Consulting,78894,Graduate (0-1 yrs),Hybrid,Statistics,Python,Machine Learning,27.1
Data Scientist,Consulting,118352,Senior (5+ yrs),No,Scikit-learn,Pandas,Python,21.0
Data Scientist,Government,115678,Mid (3-5 yrs),Hybrid,Scikit-learn,Machine Learning,SQL,24.8
Data Scientist,Tech & SaaS,104619,Mid (3-5 yrs),Yes,SQL,Statistics,Pandas,25.7
Data Scientist,Education,107024,Graduate (0-1 yrs),Yes,Scikit-learn,Pandas,SQL,27.1
Data Scientist,Media & Comms,98475,Junior (1-3 yrs),No,Machine Learning,Python,Scikit-learn,32.0
Data Scientist,Tech & SaaS,97200,Mid (3-5 yrs),No,Statistics,SQL,Scikit-learn,21.0
Data Scientist,Education,127573,Mid (3-5 yrs),Yes,Machine Learning,SQL,Python,25.0
Data Scientist,Education,90000,Junior (1-3 yrs),No,Statistics,Scikit-learn,Machine Learning,30.0
Data Scientist,Tech & SaaS,73800,Graduate (0-1 yrs),Hybrid,Machine Learning,Statistics,Pandas,32.4
Data Scientist,Media & Comms,117931,Junior (1-3 yrs),Hybrid,Machine Learning,SQL,Pandas,31.0
Data Scientist,Tech & SaaS,73800,Graduate (0-1 yrs),Hybrid,Scikit-learn,Pandas,Python,26.8
Data Scientist,Healthcare,108285,Graduate (0-1 yrs),Yes,SQL,Pandas,Machine Learning,20.4
Data Scientist,Retail & E-commerce,112500,Senior (5+ yrs),Hybrid,Pandas,Machine Learning,SQL,27.4
Data Scientist,Tech & SaaS,97200,Mid (3-5 yrs),Yes,Scikit-learn,Python,Machine Learning,26.0
Data Scientist,Healthcare,108536,Junior (1-3 yrs),Hybrid,Python,Machine Learning,Pandas,27.4
Data Scientist,Government,127635,Mid (3-5 yrs),No,SQL,Machine Learning,Scikit-learn,28.0
Data Scientist,Tech & SaaS,125812,Junior (1-3 yrs),Hybrid,Scikit-learn,Pandas,SQL,25.8
Data Scientist,Education,97402,Graduate (0-1 yrs),Hybrid,SQL,Scikit-learn,Python,29.6
Data Scientist,Consulting,91695,Junior (1-3 yrs),Hybrid,Pandas,SQL,Python,25.8
Data Scientist,Healthcare,141141,Mid (3-5 yrs),No,Machine Learning,Scikit-learn,Pandas,22.9
Data Scientist,Healthcare,170153,Senior (5+ yrs),Yes,Scikit-learn,Machine Learning,Python,22.5
Data Scientist,Tech & SaaS,112500,Senior (5+ yrs),Hybrid,Pandas,Machine Learning,Statistics,21.8
Data Scientist,Retail & E-commerce,111017,Junior (1-3 yrs),Hybrid,Scikit-learn,SQL,Machine Learning,27.5
Data Scientist,Manufacturing,136202,Senior (5+ yrs),Yes,SQL,Pandas,Scikit-learn,31.9
Data Scientist,Government,119848,Junior (1-3 yrs),Hybrid,Machine Learning,Statistics,SQL,29.1
Data Scientist,Education,110491,Junior (1-3 yrs),Hybrid,Machine Learning,Python,Pandas,29.4
Data Scientist,Consulting,122586,Mid (3-5 yrs),Yes,Pandas,Statistics,Scikit-learn,30.3
Data Scientist,Finance & Banking,161398,Senior (5+ yrs),Hybrid,Machine Learning,Python,Statistics,29.8
Data Scientist,Government,113118,Senior (5+ yrs),Yes,Python,Statistics,Scikit-learn,32.0
Data Scientist,Government,107602,Graduate (0-1 yrs),Hybrid,Python,Pandas,Statistics,29.9
Data Scientist,Tech & SaaS,151312,Mid (3-5 yrs),No,Machine Learning,SQL,Pandas,25.5
Data Scientist,Government,123778,Graduate (0-1 yrs),Hybrid,Pandas,Python,Statistics,32.6
Data Scientist,Retail & E-commerce,90000,Junior (1-3 yrs),Hybrid,SQL,Python,Scikit-learn,30.0
Data Scientist,Government,138720,Senior (5+ yrs),Hybrid,Pandas,Python,Scikit-learn,28.0
Data Scientist,Consulting,73800,Graduate (0-1 yrs),Yes,Statistics,Scikit-learn,Machine Learning,31.7
Data Scientist,Healthcare,73800,Graduate (0-1 yrs),Yes,Pandas,Scikit-learn,Python,33.1
Data Scientist,Consulting,127623,Mid (3-5 yrs),No,Python,Statistics,Machine Learning,20.4
Data Scientist,Consulting,87098,Graduate (0-1 yrs),Hybrid,Scikit-learn,SQL,Statistics,27.1
Data Scientist,Finance & Banking,131323,Mid (3-5 yrs),Hybrid,Scikit-learn,Machine Learning,Python,24.6
Data Scientist,Tech & SaaS,157117,Senior (5+ yrs),Yes,Machine Learning,Python,Statistics,29.9
Data Scientist,Government,116811,Graduate (0-1 yrs),Yes,Machine Learning,Pandas,SQL,26.5
Data Scientist,Tech & SaaS,145232,Senior (5+ yrs),Hybrid,Pandas,SQL,Machine Learning,27.4
Data Scientist,Healthcare,172800,Mid (3-5 yrs),No,Python,Scikit-learn,SQL,22.9
Data Scientist,Finance & Banking,131480,Mid (3-5 yrs),No,SQL,Python,Statistics,26.6
Data Scientist,Healthcare,155534,Junior (1-3 yrs),No,Python,SQL,Scikit-learn,27.9
Data Scientist,Manufacturing,90000,Junior (1-3 yrs),No,Python,SQL,Machine Learning,25.5
Data Scientist,Finance & Banking,144694,Junior (1-3 yrs),No,Pandas,Python,SQL,30.7
Data Scientist,Healthcare,91038,Graduate (0-1 yrs),Hybrid,Statistics,SQL,Pandas,26.4
Data Scientist,Retail & E-commerce,97200,Mid (3-5 yrs),Yes,SQL,Scikit-learn,Statistics,20.4
Data Scientist,Education,134191,Mid (3-5 yrs),Yes,Python,Pandas,SQL,34.0
Data Scientist,Finance & Banking,117000,Mid (3-5 yrs),Hybrid,Scikit-learn,Pandas,Machine Learning,33.2
Data Scientist,Media & Comms,127761,Junior (1-3 yrs),Hybrid,Python,Machine Learning,SQL,28.2
Data Scientist,Tech & SaaS,137243,Junior (1-3 yrs),Yes,SQL,Pandas,Machine Learning,26.4
Data Scientist,Tech & SaaS,112500,Senior (5+ yrs),Hybrid,Pandas,SQL,Statistics,30.5
Data Scientist,Government,171660,Senior (5+ yrs),Yes,Machine Learning,Pandas,Scikit-learn,24.7
Data Scientist,Retail & E-commerce,94416,Graduate (0-1 yrs),Yes,Python,Scikit-learn,Pandas,30.0
Data Scientist,Consulting,180952,Senior (5+ yrs),No,Scikit-learn,SQL,Pandas,23.9
Data Scientist,Manufacturing,110486,Junior (1-3 yrs),Yes,Statistics,Scikit-learn,Pandas,28.7
Data Scientist,Media & Comms,85813,Graduate (0-1 yrs),Hybrid,Machine Learning,Statistics,Python,32.1
Data Scientist,Healthcare,115595,Junior (1-3 yrs),Yes,SQL,Python,Machine Learning,29.8
Data Scientist,Media & Comms,96136,Graduate (0-1 yrs),No,Scikit-learn,Machine Learning,SQL,26.7
Data Scientist,Finance & Banking,108451,Mid (3-5 yrs),Hybrid,SQL,Machine Learning,Statistics,28.9
Data Scientist,Media & Comms,112407,Mid (3-5 yrs),Hybrid,SQL,Machine Learning,Pandas,25.6
Data Scientist,Finance & Banking,90000,Junior (1-3 yrs),Yes,Scikit-learn,Python,Statistics,26.4
Data Scientist,Consulting,113871,Mid (3-5 yrs),No,Python,Machine Learning,SQL,31.4
Data Scientist,Manufacturing,129878,Junior (1-3 yrs),Yes,Machine Learning,Pandas,Statistics,25.5
Data Scientist,Tech & SaaS,139972,Senior (5+ yrs),Yes,Pandas,Machine Learning,Python,30.6
Data Scientist,Retail & E-commerce,148174,Mid (3-5 yrs),Hybrid,SQL,Python,Pandas,23.5
ML Engineer,Consulting,151901,Junior (1-3 yrs),No,SQL,Docker,PyTorch,39.9
ML Engineer,Consulting,136789,Graduate (0-1 yrs),Yes,TensorFlow,PyTorch,Docker,44.3
ML Engineer,Government,124092,Mid (3-5 yrs),Hybrid,Docker,MLOps,TensorFlow,40.5
ML Engineer,Finance & Banking,101894,Graduate (0-1 yrs),No,PyTorch,Docker,MLOps,43.3
ML Engineer,Finance & Banking,131250,Senior (5+ yrs),No,MLOps,Python,TensorFlow,40.4
ML Engineer,Retail & E-commerce,120188,Junior (1-3 yrs),Yes,MLOps,Docker,Python,42.7
ML Engineer,Education,167307,Mid (3-5 yrs),No,Docker,PyTorch,Python,42.8
ML Engineer,Retail & E-commerce,147921,Senior (5+ yrs),Hybrid,TensorFlow,SQL,Docker,39.3
ML Engineer,Healthcare,146011,Junior (1-3 yrs),Yes,TensorFlow,PyTorch,SQL,38.8
ML Engineer,Retail & E-commerce,135255,Mid (3-5 yrs),Hybrid,TensorFlow,Python,PyTorch,36.6
ML Engineer,Healthcare,113242,Graduate (0-1 yrs),Hybrid,Docker,PyTorch,TensorFlow,42.0
ML Engineer,Tech & SaaS,113400,Mid (3-5 yrs),No,SQL,MLOps,PyTorch,37.3
ML Engineer,Government,132130,Junior (1-3 yrs),Hybrid,Python,SQL,MLOps,38.5
ML Engineer,Retail & E-commerce,131250,Senior (5+ yrs),Hybrid,MLOps,PyTorch,SQL,35.7
ML Engineer,Media & Comms,125327,Junior (1-3 yrs),No,Python,MLOps,Docker,36.5
ML Engineer,Retail & E-commerce,86100,Graduate (0-1 yrs),No,Docker,Python,MLOps,44.3
ML Engineer,Consulting,131322,Graduate (0-1 yrs),No,Python,SQL,TensorFlow,41.1
ML Engineer,Education,161389,Mid (3-5 yrs),No,MLOps,Python,SQL,39.1
ML Engineer,Tech & SaaS,141666,Junior (1-3 yrs),Hybrid,MLOps,TensorFlow,SQL,41.7
ML Engineer,Media & Comms,210031,Senior (5+ yrs),Hybrid,PyTorch,Docker,SQL,33.9
ML Engineer,Media & Comms,114779,Mid (3-5 yrs),Yes,MLOps,Python,PyTorch,40.6
ML Engineer,Education,142420,Graduate (0-1 yrs),Yes,Docker,TensorFlow,MLOps,39.1
ML Engineer,Consulting,125709,Graduate (0-1 yrs),Yes,Docker,PyTorch,SQL,41.5
ML Engineer,Retail & E-commerce,155107,Senior (5+ yrs),Hybrid,SQL,Python,Docker,41.9
ML Engineer,Manufacturing,158390,Junior (1-3 yrs),Hybrid,TensorFlow,Python,MLOps,44.5
ML Engineer,Finance & Banking,86100,Graduate (0-1 yrs),Yes,SQL,Python,PyTorch,35.6
ML Engineer,Government,118137,Mid (3-5 yrs),Yes,PyTorch,Python,SQL,44.0
ML Engineer,Retail & E-commerce,94123,Graduate (0-1 yrs),Hybrid,TensorFlow,PyTorch,SQL,39.7
ML Engineer,Education,126117,Mid (3-5 yrs),Yes,SQL,PyTorch,MLOps,40.6
ML Engineer,Tech & SaaS,105000,Junior (1-3 yrs),Hybrid,MLOps,PyTorch,Docker,39.9
ML Engineer,Retail & E-commerce,131673,Graduate (0-1 yrs),No,Python,PyTorch,TensorFlow,44.6
ML Engineer,Government,133410,Mid (3-5 yrs),Yes,Docker,PyTorch,TensorFlow,43.0
ML Engineer,Healthcare,149916,Mid (3-5 yrs),Yes,PyTorch,SQL,Python,42.7
ML Engineer,Tech & SaaS,94907,Graduate (0-1 yrs),Hybrid,SQL,Docker,MLOps,33.1
ML Engineer,Manufacturing,113400,Mid (3-5 yrs),Hybrid,Python,SQL,Docker,40.9
ML Engineer,Retail & E-commerce,170938,Senior (5+ yrs),Hybrid,TensorFlow,Docker,MLOps,43.3
ML Engineer,Finance & Banking,105000,Junior (1-3 yrs),Hybrid,SQL,TensorFlow,PyTorch,44.0
ML Engineer,Manufacturing,138546,Mid (3-5 yrs),Yes,Docker,Python,TensorFlow,43.9
ML Engineer,Finance & Banking,131250,Senior (5+ yrs),Hybrid,Docker,Python,TensorFlow,44.1
ML Engineer,Consulting,175000,Junior (1-3 yrs),Yes,MLOps,Docker,SQL,41.8
ML Engineer,Media & Comms,165006,Mid (3-5 yrs),Hybrid,Docker,SQL,TensorFlow,40.7
ML Engineer,Healthcare,108767,Graduate (0-1 yrs),No,SQL,Docker,PyTorch,35.9
ML Engineer,Healthcare,161592,Junior (1-3 yrs),Yes,MLOps,Python,Docker,42.6
ML Engineer,Healthcare,117549,Mid (3-5 yrs),Yes,PyTorch,Python,MLOps,44.8
ML Engineer,Retail & E-commerce,155072,Mid (3-5 yrs),Hybrid,Python,PyTorch,Docker,37.2
ML Engineer,Government,168743,Senior (5+ yrs),Hybrid,SQL,Python,PyTorch,44.6
ML Engineer,Education,147528,Mid (3-5 yrs),Hybrid,TensorFlow,PyTorch,Python,39.4
ML Engineer,Retail & E-commerce,132682,Graduate (0-1 yrs),Hybrid,Docker,PyTorch,SQL,40.9
ML Engineer,Tech & SaaS,148312,Junior (1-3 yrs),No,TensorFlow,Docker,MLOps,45.5
ML Engineer,Media & Comms,171522,Senior (5+ yrs),No,SQL,TensorFlow,MLOps,42.4
ML Engineer,Education,113400,Mid (3-5 yrs),No,SQL,TensorFlow,Python,39.6
ML Engineer,Government,86918,Graduate (0-1 yrs),No,SQL,TensorFlow,Docker,41.4
ML Engineer,Tech & SaaS,126932,Junior (1-3 yrs),No,PyTorch,SQL,Python,44.5
ML Engineer,Retail & E-commerce,108513,Graduate (0-1 yrs),No,TensorFlow,PyTorch,Python,45.6
ML Engineer,Media & Comms,131250,Senior (5+ yrs),No,TensorFlow,MLOps,Python,48.3
ML Engineer,Tech & SaaS,218750,Senior (5+ yrs),No,Python,SQL,TensorFlow,39.0
ML Engineer,Education,181341,Mid (3-5 yrs),Hybrid,Docker,TensorFlow,PyTorch,39.7
ML Engineer,Tech & SaaS,118942,Graduate (0-1 yrs),Hybrid,Python,MLOps,SQL,41.9
ML Engineer,Manufacturing,131800,Junior (1-3 yrs),No,MLOps,PyTorch,Docker,39.9
ML Engineer,Media & Comms,155867,Senior (5+ yrs),Hybrid,TensorFlow,PyTorch,Python,45.5
Data Engineer,Finance & Banking,108679,Graduate (0-1 yrs),Hybrid,SQL,Python,Spark,34.9
Data Engineer,Education,101457,Graduate (0-1 yrs),No,Spark,Airflow,Python,36.3
Data Engineer,Tech & SaaS,78880,Graduate (0-1 yrs),Hybrid,dbt,Python,SQL,33.1
Data Engineer,Tech & SaaS,141747,Junior (1-3 yrs),Yes,Cloud (AWS/GCP/Azure),Python,dbt,40.1
Data Engineer,Education,170452,Senior (5+ yrs),Yes,SQL,Spark,Cloud (AWS/GCP/Azure),40.7
Data Engineer,Manufacturing,77900,Graduate (0-1 yrs),No,Spark,SQL,Cloud (AWS/GCP/Azure),30.1
Data Engineer,Healthcare,106915,Junior (1-3 yrs),Hybrid,Airflow,SQL,Python,35.4
Data Engineer,Media & Comms,115494,Graduate (0-1 yrs),No,Python,SQL,dbt,35.3
Data Engineer,Retail & E-commerce,102600,Mid (3-5 yrs),Yes,SQL,Spark,Airflow,36.5
Data Engineer,Healthcare,149980,Mid (3-5 yrs),Hybrid,Airflow,dbt,Python,38.0
Data Engineer,Tech & SaaS,117175,Junior (1-3 yrs),Hybrid,Cloud (AWS/GCP/Azure),Spark,Python,36.3
Data Engineer,Finance & Banking,158549,Mid (3-5 yrs),Hybrid,Python,Airflow,dbt,36.0
Data Engineer,Manufacturing,98381,Graduate (0-1 yrs),No,Airflow,Python,dbt,35.8
Data Engineer,Manufacturing,105558,Junior (1-3 yrs),Yes,Python,SQL,Spark,33.3
Data Engineer,Healthcare,136253,Mid (3-5 yrs),Hybrid,Airflow,Python,SQL,31.5
Data Engineer,Tech & SaaS,97901,Graduate (0-1 yrs),Hybrid,Airflow,dbt,SQL,34.4
Data Engineer,Media & Comms,85101,Graduate (0-1 yrs),Hybrid,SQL,dbt,Airflow,30.0
Data Engineer,Government,177515,Mid (3-5 yrs),Hybrid,Airflow,SQL,Spark,35.5
Data Engineer,Media & Comms,82473,Graduate (0-1 yrs),Yes,Spark,Airflow,dbt,33.9
Data Engineer,Government,77900,Graduate (0-1 yrs),No,dbt,Python,Cloud (AWS/GCP/Azure),35.7
Data Engineer,Retail & E-commerce,163763,Mid (3-5 yrs),No,Airflow,Python,SQL,32.7
Data Engineer,Healthcare,108328,Junior (1-3 yrs),Hybrid,dbt,Airflow,Python,36.3
Data Engineer,Healthcare,114064,Junior (1-3 yrs),Yes,Airflow,dbt,Spark,38.7
Data Engineer,Consulting,121868,Mid (3-5 yrs),Hybrid,dbt,Spark,Airflow,36.7
Data Engineer,Retail & E-commerce,117294,Mid (3-5 yrs),Hybrid,dbt,Spark,Cloud (AWS/GCP/Azure),32.6
Data Engineer,Tech & SaaS,113050,Mid (3-5 yrs),Hybrid,Spark,dbt,Cloud (AWS/GCP/Azure),38.0
Data Engineer,Media & Comms,108068,Mid (3-5 yrs),Hybrid,Spark,Airflow,Cloud (AWS/GCP/Azure),38.8
Data Engineer,Tech & SaaS,99461,Graduate (0-1 yrs),Hybrid,Airflow,Spark,dbt,29.6
Data Engineer,Manufacturing,139950,Senior (5+ yrs),Hybrid,Cloud (AWS/GCP/Azure),dbt,SQL,31.8
Data Engineer,Government,145375,Mid (3-5 yrs),Hybrid,Spark,Python,Airflow,32.0
Data Engineer,Consulting,140025,Mid (3-5 yrs),No,Airflow,Python,Cloud (AWS/GCP/Azure),34.1
Data Engineer,Consulting,83188,Graduate (0-1 yrs),No,SQL,Cloud (AWS/GCP/Azure),Python,32.5
Data Engineer,Education,131943,Mid (3-5 yrs),Hybrid,dbt,SQL,Cloud (AWS/GCP/Azure),33.1
Data Engineer,Finance & Banking,91547,Graduate (0-1 yrs),Yes,dbt,Python,SQL,32.0
Data Engineer,Education,82136,Graduate (0-1 yrs),Hybrid,dbt,Python,SQL,34.9
